"id","ra [deg]","dec [deg]","redshift","classification","probability","annotation origin","annotation origin key-value pair count","annotation key","annotation value","groups","Saved at","Alias","Origin","TNS"
"170019696466198671","61.85107175196156","-47.35648122556403","","","","","","","","Superphot LSST","2026-02-25T10:05:25","","",""
"313765480559017992","58.34343372967296","-50.26845369328404","","","","","","","","Superphot LSST","2026-02-25T10:05:01","","",""
"313871013530042570","60.507251017816756","-48.42479338056242","","","","","","","","Superphot LSST","2026-02-25T10:04:55","","",""
"313994145051443228","58.8540887742813","-48.07970415360053","","","","","","","","Superphot LSST","2026-02-25T10:04:47","","",""
"313756671695913113","61.134882740583166","-47.687661590740596","","","","","","","","Superphot LSST","2026-02-25T10:04:36","","",""
"170019696437362764","63.26799680290684","-47.80719175531466","","","","","","","","Superphot LSST","2026-02-25T10:04:17","","",""
"314051321101549625","57.93959831046295","-50.034829387717224","","","","","","","","Superphot LSST","2026-02-25T10:04:13","","",""
"313756671722127979","59.66144503740606","-47.72229278512442","","","","","","","","Superphot LSST","2026-02-25T10:03:40","","",""
"313853497291309068","61.06141059710191","-49.135633594410365","","","","","","","","Superphot LSST","2026-02-25T10:02:49","","",""
"313761042410242140","62.29359523082683","-46.568078203045836","","","","","","","","Superphot LSST","2026-02-25T10:02:41","","",""
"313853497321193628","59.78538546447254","-50.167520692777224","","","","","","","","Superphot LSST","2026-02-25T10:02:32","","",""
"313928194187591742","57.52747134341934","-48.0289101519808","","","","","","","","Superphot LSST","2026-02-25T10:02:21","","",""
"313853501446815761","64.28413452580659","-46.529283436106695","","","","","","","","Superphot LSST","2026-02-25T10:02:07","","",""
"313893023086280813","64.4579073934422","-48.33413320344906","","","","","","","","Superphot LSST","2026-02-25T10:02:01","","",""
"313945770546430083","61.82481412040803","-47.44969395230267","","","","","","","","Superphot LSST","2026-02-25T10:01:42","","",""
"313950161909317636","57.91111875741835","-48.003571489543994","","","","","","","","Superphot LSST","2026-02-25T10:01:33","","",""
"313871013794283597","64.52906725696015","-46.903941780748966","","","","","","","","Superphot LSST","2026-02-25T10:01:24","","",""
"313853501480894545","64.15213513233375","-48.1939819030184","","","","","","","","Superphot LSST","2026-02-25T10:01:12","","",""
"313967752817672227","63.52392852427471","-48.08395686604482","","","","","","","","Superphot LSST","2026-02-25T10:00:56","","",""
"313756671858442321","63.263524273248265","-46.06336609982752","","","","","","","","Superphot LSST","2026-02-25T10:00:50","","",""
"313928194151940140","58.23813977223645","-50.09248349005979","","","","","","","","Superphot LSST","2026-02-25T10:00:40","","",""
"170050474601349124","62.10103814994066","-47.89381904993842","","","","","","","","Superphot LSST","2026-02-25T10:00:32","","",""
"313871013549441166","60.943927492879766","-47.608091202330314","","","","","","","","Superphot LSST","2026-02-25T10:00:26","","",""
"313761042386124904","63.89875296467731","-46.51571749706104","","","","","","","","Superphot LSST","2026-02-25T10:00:12","","",""
"313963359527501831","62.58431193622624","-46.62048298740655","","","","","","","","Superphot LSST","2026-02-25T10:00:00","","",""
"313756673035468835","62.729566620875424","-49.113451216404826","","","","","","","","Superphot LSST","2026-02-25T09:59:52","","",""
"313897383678181486","60.10572122888109","-50.562673793163654","","","","","","","","Superphot LSST","2026-02-25T09:59:33","","",""
"313756673012400719","64.00627152421791","-49.329739429651625","","","","","","","","Superphot LSST","2026-02-25T09:59:18","","",""
"313699506405244961","57.19820871884498","-49.92124284648951","","","","","","","","Superphot LSST","2026-02-25T09:58:53","","",""
"170028488668479507","61.008205526380166","-48.549459558722","","","","","","","","Superphot LSST","2026-02-25T09:58:45","","",""
"170028497264181363","63.462581572357735","-46.19314338818734","","","","","","","","Superphot LSST","2026-02-25T09:58:38","","",""
"313985346353234012","57.553409200800004","-49.75244877777541","","","","","","","","Superphot LSST","2026-02-25T09:58:26","","",""
"313756671682281480","61.06084679558143","-49.60733174415074","","","","","","","","Superphot LSST","2026-02-25T09:58:11","","",""
"313871013678940198","57.25021886371898","-49.35345254689396","","","","","","","","Superphot LSST","2026-02-25T09:58:02","","",""
"170028486051233796","58.01783204536595","-50.55077021614344","","","","","","","","Superphot LSST","2026-02-25T09:57:46","","",""
"170046083740205236","56.87560742957453","-49.85586322338141","","","","","","","","Superphot LSST","2026-02-25T09:57:36","","",""
"313893022983520325","60.374126378732356","-48.42624811697158","","","","","","","","Superphot LSST","2026-02-25T09:57:20","","",""
"313998539799134474","63.013847684678815","-49.47096369354817","","","","","","","","Superphot LSST","2026-02-25T09:56:42","","",""
