name,peak_phase,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag
15DYSEbzq,72.0365572513183,18.947,<https://ziggy.ucolick.org/yse/transient_detail/15DYSEbzq|*YSE-PZ*>,719.A,215.45674863202905,7.164989856613642,,,---,0.371462,0.9999999999300937,8.807584010566332,decals,-21.440401442482905,0.371462,9906624204969038,True,-22.27140841287849
15EYSEcji,51.00755725131603,20.212999999999997,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcji|*YSE-PZ*>,674.A,264.4859769697505,32.49020021404632,,,---,0.459014,0.9999832633429906,0.15564529344601813,decals,-20.523789721666486,0.459014,9907732630999432,True,-21.4808617290826
15DYSEbuo,56.218557251319,20.418,<https://ziggy.ucolick.org/yse/transient_detail/15DYSEbuo|*YSE-PZ*>,577.B,257.6436166955522,20.425813556960033,,,---,0.235246,0.9999067709891327,0.32996241747320415,decals,-20.34062235918566,0.235246,9906629066097807,True,-19.77289652435755
15EYSEcjc,23.033557251321326,19.851,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcjc|*YSE-PZ*>,719.A,216.4060621811675,23.066999477901792,,,---,0.642953,0.9999999999802773,8.754506697035849,decals,-21.446420406328805,0.642953,9906629933532626,True,-22.59439818538456
15CYSEbqs,32.19755725131836,20.666,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbqs|*YSE-PZ*>,423.A,188.3847557519144,27.46096015037122,,,---,0.576523,0.9999999999999895,0.12291316630520806,decals,-20.079945819708097,0.576523,9906631465438851,True,-21.537301961370495
15EYSEciu,38.19555725131795,20.72,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEciu|*YSE-PZ*>,719.A,217.3793260728193,24.33758842924641,,,---,0.829206,0.9999999999999852,0.20036002657016644,decals,-22.314129552538176,0.829206,9906630366728001,True,-22.283824712908704
15DYSEbxl,32.123557251317834,19.996000000000002,<https://ziggy.ucolick.org/yse/transient_detail/15DYSEbxl|*YSE-PZ*>,674.C,210.33326995867918,30.594021059460886,,,---,0.511886,0.9999999999999318,0.681346294942415,decals,-20.47871139900179,0.511886,9906632462439165,True,-21.942000643532324
15EYSEccq,3.1245572513143998,18.413999999999998,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEccq|*YSE-PZ*>,575.A,240.4779333370553,17.110069131048327,,,---,0.341442,0.9999999999999819,0.3257999759469481,decals,-19.86991700563118,0.341442,9906627808987865,True,-22.614804518954653
15EYSEclm,17.126557251314807,20.332,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEclm|*YSE-PZ*>,423.A,188.32595633699856,27.629565809034155,,,---,0.094417,0.999999999999979,0.8680324837188189,decals,-18.995321627333777,0.094417,9906631549193096,True,-17.822220718046065
15EYSEcpg,54.9795572513176,21.014,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcpg|*YSE-PZ*>,674.A,263.5871030942044,31.793890457803275,,,---,0.104618,0.9999999999690925,59.20053717549458,decals,-22.206144285410208,0.104618,9906632879047522,True,-17.367645383295702
15FYSEcsj,62.998557251317834,20.746,<https://ziggy.ucolick.org/yse/transient_detail/13EYSEbqn|*YSE-PZ*>,,253.50772899766466,56.18681985496749,,,---,0.755022,0.9999999999999707,0.23179803800670395,decals,-22.19029603301956,0.755022,9907739005682562,True,-22.05329566014167
15EYSEcln,8.243557251320453,21.512999999999998,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcln|*YSE-PZ*>,674.D,207.61717429023653,49.70540041983008,,,---,0.855153,0.9999999999999825,0.21094840950200422,decals,-21.65857141682571,0.855153,9907737517624067,True,-21.557712659117026
